experiment,model,target,metric_type,metric_display_name,metric_value
no_temp_ph_no_advanced,linear,log_kcat_value,val_mse,Validation MSE,10.559345722198486
no_temp_ph_no_advanced,linear,log_km_value,val_mse,Validation MSE,8.002262592315674
no_temp_ph_no_advanced,linear,log_kcat_value,val_mae,Validation MAE,2.5756524801254272
no_temp_ph_no_advanced,linear,log_km_value,val_mae,Validation MAE,2.2113925218582153
no_temp_ph_no_advanced,linear,log_kcat_value,val_r2,Validation R²,0.03702595829963684
no_temp_ph_no_advanced,linear,log_km_value,val_r2,Validation R²,0.12985184788703918
no_temp_ph_no_advanced,xgb,log_kcat_value,val_mse,Validation MSE,5.165728569030762
no_temp_ph_no_advanced,xgb,log_km_value,val_mse,Validation MSE,3.687246322631836
no_temp_ph_no_advanced,xgb,log_kcat_value,val_mae,Validation MAE,1.7019997239112854
no_temp_ph_no_advanced,xgb,log_km_value,val_mae,Validation MAE,1.4191709160804749
no_temp_ph_no_advanced,xgb,log_kcat_value,val_r2,Validation R²,0.5289044678211212
no_temp_ph_no_advanced,xgb,log_km_value,val_r2,Validation R²,0.59908327460289
no_temp_ph_no_advanced,nn,log_kcat_value,val_mse,Validation MSE,7.407520532608032
no_temp_ph_no_advanced,nn,log_km_value,val_mse,Validation MSE,5.509087085723877
no_temp_ph_no_advanced,nn,log_kcat_value,val_mae,Validation MAE,2.0673751831054688
no_temp_ph_no_advanced,nn,log_km_value,val_mae,Validation MAE,1.776647925376892
no_temp_ph_no_advanced,nn,log_kcat_value,val_r2,Validation R²,0.3244597315788269
no_temp_ph_no_advanced,nn,log_km_value,val_r2,Validation R²,0.40096035599708557
yes_temp_ph_no_advanced,linear,log_kcat_value,val_mse,Validation MSE,10.48207488884674
yes_temp_ph_no_advanced,linear,log_km_value,val_mse,Validation MSE,7.8929294076637255
yes_temp_ph_no_advanced,linear,log_kcat_value,val_mae,Validation MAE,2.5645715717032114
yes_temp_ph_no_advanced,linear,log_km_value,val_mae,Validation MAE,2.1899617343465048
yes_temp_ph_no_advanced,linear,log_kcat_value,val_r2,Validation R²,0.0440726398560658
yes_temp_ph_no_advanced,linear,log_km_value,val_r2,Validation R²,0.14175098834853866
yes_temp_ph_no_advanced,xgb,log_kcat_value,val_mse,Validation MSE,4.984367609024048
yes_temp_ph_no_advanced,xgb,log_km_value,val_mse,Validation MSE,3.6252970695495605
yes_temp_ph_no_advanced,xgb,log_kcat_value,val_mae,Validation MAE,1.6671074032783508
yes_temp_ph_no_advanced,xgb,log_km_value,val_mae,Validation MAE,1.4092910289764404
yes_temp_ph_no_advanced,xgb,log_kcat_value,val_r2,Validation R²,0.5454440116882324
yes_temp_ph_no_advanced,xgb,log_km_value,val_r2,Validation R²,0.6058073341846466
yes_temp_ph_no_advanced,nn,log_kcat_value,val_mse,Validation MSE,7.410960945569018
yes_temp_ph_no_advanced,nn,log_km_value,val_mse,Validation MSE,5.479482465689049
yes_temp_ph_no_advanced,nn,log_kcat_value,val_mae,Validation MAE,2.0740851736937045
yes_temp_ph_no_advanced,nn,log_km_value,val_mae,Validation MAE,1.7719201272982597
yes_temp_ph_no_advanced,nn,log_kcat_value,val_r2,Validation R²,0.3241449193508052
yes_temp_ph_no_advanced,nn,log_km_value,val_r2,Validation R²,0.4041663025778414
yes_temp_ph_yes_advanced,linear,log_kcat_value,val_mse,Validation MSE,11.182035051354251
yes_temp_ph_yes_advanced,linear,log_km_value,val_mse,Validation MSE,8.867498994095403
yes_temp_ph_yes_advanced,linear,log_kcat_value,val_mae,Validation MAE,2.2848746689146133
yes_temp_ph_yes_advanced,linear,log_km_value,val_mae,Validation MAE,1.9107196259087709
yes_temp_ph_yes_advanced,linear,log_kcat_value,val_r2,Validation R²,-0.019752808746304196
yes_temp_ph_yes_advanced,linear,log_km_value,val_r2,Validation R²,0.036158287473937345
yes_temp_ph_yes_advanced,xgb,log_kcat_value,val_mse,Validation MSE,4.2675700187683105
yes_temp_ph_yes_advanced,xgb,log_km_value,val_mse,Validation MSE,3.2897706031799316
yes_temp_ph_yes_advanced,xgb,log_kcat_value,val_mae,Validation MAE,1.5241127610206604
yes_temp_ph_yes_advanced,xgb,log_km_value,val_mae,Validation MAE,1.3363130688667297
yes_temp_ph_yes_advanced,xgb,log_kcat_value,val_r2,Validation R²,0.6108137369155884
yes_temp_ph_yes_advanced,xgb,log_km_value,val_r2,Validation R²,0.6422860026359558
yes_temp_ph_yes_advanced,nn,log_kcat_value,val_mse,Validation MSE,5.849361192787823
yes_temp_ph_yes_advanced,nn,log_km_value,val_mse,Validation MSE,4.13831895818713
yes_temp_ph_yes_advanced,nn,log_kcat_value,val_mae,Validation MAE,1.7533018372197244
yes_temp_ph_yes_advanced,nn,log_km_value,val_mae,Validation MAE,1.4747924124158707
yes_temp_ph_yes_advanced,nn,log_kcat_value,val_r2,Validation R²,0.46656081265803845
yes_temp_ph_yes_advanced,nn,log_km_value,val_r2,Validation R²,0.5500264600698306
